,Season,Round,Home,Away,HomeGoals,AwayGoals,Result,HomePoints,AwayPoints
0,2019-2020,1,PEC Zwolle,Willem II,1,3,2,0,3
1,2019-2020,1,Vitesse,AFC Ajax,2,2,3,1,1
2,2019-2020,1,FC Emmen,FC Groningen,0,1,2,0,3
3,2019-2020,1,VVV-Venlo,RKC Waalwijk,3,1,1,3,0
4,2019-2020,1,FC Twente,PSV,1,1,3,1,1
5,2019-2020,1,Heracles Almelo,sc Heerenveen,0,4,2,0,3
6,2019-2020,1,Feyenoord,Sparta Rotterdam,2,2,3,1,1
7,2019-2020,1,ADO Den Haag,FC Utrecht,2,4,2,0,3
8,2019-2020,1,AZ Alkmaar,Fortuna Sittard,4,0,1,3,0
9,2019-2020,2,Sparta Rotterdam,VVV-Venlo,4,1,1,3,0
10,2019-2020,2,FC Groningen,FC Twente,1,3,2,0,3
11,2019-2020,2,AFC Ajax,FC Emmen,5,0,1,3,0
12,2019-2020,2,Willem II,Vitesse,0,2,2,0,3
13,2019-2020,2,Fortuna Sittard,Heracles Almelo,1,1,3,1,1
14,2019-2020,2,sc Heerenveen,Feyenoord,1,1,3,1,1
15,2019-2020,2,RKC Waalwijk,AZ Alkmaar,0,2,2,0,3
16,2019-2020,2,FC Utrecht,PEC Zwolle,3,1,1,3,0
17,2019-2020,2,PSV,ADO Den Haag,3,1,1,3,0
18,2019-2020,3,Vitesse,PEC Zwolle,3,0,1,3,0
19,2019-2020,3,ADO Den Haag,Sparta Rotterdam,1,2,2,0,3
20,2019-2020,3,VVV-Venlo,AFC Ajax,1,4,2,0,3
21,2019-2020,3,FC Emmen,sc Heerenveen,2,0,1,3,0
22,2019-2020,3,Fortuna Sittard,Willem II,2,3,2,0,3
23,2019-2020,3,FC Twente,RKC Waalwijk,3,3,3,1,1
24,2019-2020,3,Feyenoord,FC Utrecht,1,1,3,1,1
25,2019-2020,3,AZ Alkmaar,FC Groningen,0,0,3,1,1
26,2019-2020,3,Heracles Almelo,PSV,0,2,2,0,3
27,2019-2020,4,Willem II,FC Emmen,2,1,1,3,0
28,2019-2020,4,Heracles Almelo,Vitesse,1,1,3,1,1
29,2019-2020,4,sc Heerenveen,FC Twente,0,0,3,1,1
30,2019-2020,4,RKC Waalwijk,ADO Den Haag,0,3,2,0,3
31,2019-2020,4,FC Utrecht,VVV-Venlo,1,2,2,0,3
32,2019-2020,4,PEC Zwolle,Sparta Rotterdam,2,2,3,1,1
33,2019-2020,4,PSV,FC Groningen,3,1,1,3,0
34,2019-2020,4,AFC Ajax,Fortuna Sittard,5,0,1,3,0
35,2019-2020,4,Feyenoord,AZ Alkmaar,0,3,2,0,3
36,2019-2020,5,FC Emmen,PEC Zwolle,1,3,2,0,3
37,2019-2020,5,sc Heerenveen,Fortuna Sittard,1,1,3,1,1
38,2019-2020,5,FC Groningen,Heracles Almelo,1,2,2,0,3
39,2019-2020,5,ADO Den Haag,VVV-Venlo,1,0,1,3,0
40,2019-2020,5,FC Twente,FC Utrecht,3,1,1,3,0
41,2019-2020,5,Sparta Rotterdam,AFC Ajax,1,4,2,0,3
42,2019-2020,5,Willem II,Feyenoord,0,1,2,0,3
