,Season,Round,Home,Away,HomeGoals,AwayGoals,Result,HomePoints,AwayPoints,GoalsScored,HomeAdvantage,Home_RecentForm,Away_RecentForm
0,1959-1960,1,ADO Den Haag,Willem II,3,3,3,1,1,6,0,,
1,1959-1960,1,AFC Ajax,NAC Breda,3,0,1,3,0,3,3,,
2,1959-1960,1,Blauw Wit,Sittardia,5,2,1,3,0,7,3,,
3,1959-1960,1,USV Elinkwijk,MVV Maastricht,2,0,1,3,0,2,2,,
4,1959-1960,1,Feijenoord,Sparta Rotterdam,0,1,2,0,3,1,-1,,
5,1959-1960,1,Fortuna '54,PSV,0,2,2,0,3,2,-2,,
6,1959-1960,1,Rapid JC Heerlen,DOS Utrecht,0,2,2,0,3,2,-2,,
7,1959-1960,1,FC Volendam,DWS Amsterdam,3,1,1,3,0,4,2,,
8,1959-1960,1,VVV-Venlo,Sportclub Enschede,3,2,1,3,0,5,1,,
9,1959-1960,2,DOS Utrecht,FC Volendam,2,0,1,3,0,2,2,,
10,1959-1960,2,DWS Amsterdam,ADO Den Haag,2,4,2,0,3,6,-2,,
11,1959-1960,2,MVV Maastricht,Fortuna '54,0,6,2,0,3,6,-6,,
12,1959-1960,2,NAC Breda,Feijenoord,0,0,3,1,1,0,0,,
13,1959-1960,2,PSV,AFC Ajax,1,1,3,1,1,2,0,,
14,1959-1960,2,Sportclub Enschede,Blauw Wit,6,3,1,3,0,9,3,,
15,1959-1960,2,Sittardia,Rapid JC Heerlen,1,1,3,1,1,2,0,,
16,1959-1960,2,Sparta Rotterdam,VVV-Venlo,6,0,1,3,0,6,6,,
17,1959-1960,2,Willem II,USV Elinkwijk,3,1,1,3,0,4,2,,
18,1959-1960,3,DOS Utrecht,ADO Den Haag,3,1,1,3,0,4,2,,
19,1959-1960,3,DWS Amsterdam,USV Elinkwijk,0,1,2,0,3,1,-1,,
20,1959-1960,3,MVV Maastricht,AFC Ajax,3,6,2,0,3,9,-3,,
21,1959-1960,3,PSV,NAC Breda,2,0,1,3,0,2,2,,
22,1959-1960,3,Sportclub Enschede,Rapid JC Heerlen,3,1,1,3,0,4,2,,
23,1959-1960,3,Sittardia,FC Volendam,1,5,2,0,3,6,-4,,
24,1959-1960,3,Sparta Rotterdam,Blauw Wit,0,2,2,0,3,2,-2,,
25,1959-1960,3,VVV-Venlo,Feijenoord,1,1,3,1,1,2,0,,
26,1959-1960,3,Willem II,Fortuna '54,5,1,1,3,0,6,4,,
27,1959-1960,4,ADO Den Haag,Sittardia,1,2,2,0,3,3,-1,,
28,1959-1960,4,AFC Ajax,Willem II,2,2,3,1,1,4,0,,
29,1959-1960,4,Blauw Wit,VVV-Venlo,2,0,1,3,0,2,2,,
30,1959-1960,4,USV Elinkwijk,DOS Utrecht,0,0,3,1,1,0,0,,
31,1959-1960,4,Feijenoord,PSV,1,1,3,1,1,2,0,,
32,1959-1960,4,Fortuna '54,DWS Amsterdam,2,1,1,3,0,3,1,,
33,1959-1960,4,NAC Breda,MVV Maastricht,3,1,1,3,0,4,2,,
34,1959-1960,4,Rapid JC Heerlen,Sparta Rotterdam,2,0,1,3,0,2,2,,
35,1959-1960,4,FC Volendam,Sportclub Enschede,2,1,1,3,0,3,1,,
36,1959-1960,5,Blauw Wit,Feijenoord,2,7,2,0,3,9,-5,9.0,6.0
37,1959-1960,5,DOS Utrecht,Fortuna '54,8,0,1,3,0,8,8,13.0,6.0
38,1959-1960,5,DWS Amsterdam,AFC Ajax,1,0,1,3,0,1,1,3.0,8.0
39,1959-1960,5,MVV Maastricht,PSV,0,0,3,1,1,0,0,1.0,9.0
40,1959-1960,5,Sportclub Enschede,ADO Den Haag,4,1,1,3,0,5,3,9.0,4.0
41,1959-1960,5,Sittardia,USV Elinkwijk,2,1,1,3,0,3,1,7.0,7.0
42,1959-1960,5,Sparta Rotterdam,FC Volendam,3,2,1,3,0,5,1,9.0,9.0
43,1959-1960,5,VVV-Venlo,Rapid JC Heerlen,1,1,3,1,1,2,0,5.0,5.0
44,1959-1960,5,Willem II,NAC Breda,3,4,2,0,3,7,-1,8.0,7.0
45,1959-1960,6,ADO Den Haag,Sparta Rotterdam,2,0,1,3,0,2,2,6.0,6.0
46,1959-1960,6,AFC Ajax,DOS Utrecht,2,1,1,3,0,3,1,8.0,10.0
47,1959-1960,6,USV Elinkwijk,Sportclub Enschede,3,1,1,3,0,4,2,7.0,9.0
48,1959-1960,6,Feijenoord,MVV Maastricht,6,1,1,3,0,7,5,9.0,1.0
49,1959-1960,6,Fortuna '54,Sittardia,1,1,3,1,1,2,0,7.0,8.0
50,1959-1960,6,NAC Breda,DWS Amsterdam,2,2,3,1,1,4,0,8.0,4.0
51,1959-1960,6,PSV,Willem II,2,2,3,1,1,4,0,7.0,8.0
52,1959-1960,6,Rapid JC Heerlen,Blauw Wit,0,1,2,0,3,1,-1,5.0,9.0
53,1959-1960,6,FC Volendam,VVV-Venlo,1,2,2,0,3,3,-1,6.0,5.0
54,1959-1960,7,Blauw Wit,FC Volendam,2,3,2,0,3,5,-1,9.0,9.0
55,1959-1960,7,DOS Utrecht,NAC Breda,1,2,2,0,3,3,-1,7.0,10.0
56,1959-1960,7,DWS Amsterdam,PSV,2,5,2,0,3,7,-3,4.0,9.0
57,1959-1960,7,Rapid JC Heerlen,Feijenoord,1,1,3,1,1,2,0,5.0,9.0
58,1959-1960,7,Sportclub Enschede,Fortuna '54,5,2,1,3,0,7,3,9.0,4.0
59,1959-1960,7,Sittardia,AFC Ajax,1,4,2,0,3,5,-3,7.0,10.0
60,1959-1960,7,Sparta Rotterdam,USV Elinkwijk,0,1,2,0,3,1,-1,3.0,10.0
61,1959-1960,7,VVV-Venlo,ADO Den Haag,3,1,1,3,0,4,2,8.0,3.0
62,1959-1960,7,Willem II,MVV Maastricht,3,1,1,3,0,4,2,8.0,1.0
63,1959-1960,8,ADO Den Haag,Blauw Wit,4,2,1,3,0,6,2,6.0,6.0
64,1959-1960,8,AFC Ajax,Sportclub Enschede,3,0,1,3,0,3,3,10.0,6.0
65,1959-1960,8,USV Elinkwijk,VVV-Venlo,0,0,3,1,1,0,0,8.0,8.0
66,1959-1960,8,Feijenoord,Willem II,0,0,3,1,1,0,0,9.0,6.0
67,1959-1960,8,Fortuna '54,Sparta Rotterdam,2,3,2,0,3,5,-1,4.0,6.0
68,1959-1960,8,MVV Maastricht,DWS Amsterdam,2,1,1,3,0,3,1,4.0,4.0
69,1959-1960,8,NAC Breda,Sittardia,5,1,1,3,0,6,4,13.0,7.0
70,1959-1960,8,PSV,DOS Utrecht,4,0,1,3,0,4,4,9.0,4.0
71,1959-1960,8,FC Volendam,Rapid JC Heerlen,2,1,1,3,0,3,1,9.0,5.0
72,1959-1960,9,Blauw Wit,USV Elinkwijk,0,0,3,1,1,0,0,4.0,8.0
73,1959-1960,9,DOS Utrecht,MVV Maastricht,7,2,1,3,0,9,5,6.0,4.0
74,1959-1960,9,DWS Amsterdam,Willem II,4,0,1,3,0,4,4,7.0,5.0
75,1959-1960,9,Rapid JC Heerlen,ADO Den Haag,1,0,1,3,0,1,1,5.0,6.0
76,1959-1960,9,Sportclub Enschede,NAC Breda,1,2,2,0,3,3,-1,6.0,13.0
77,1959-1960,9,Sittardia,PSV,0,1,2,0,3,1,-1,4.0,11.0
78,1959-1960,9,FC Volendam,Feijenoord,1,1,3,1,1,2,0,7.0,9.0
79,1959-1960,9,VVV-Venlo,Fortuna '54,0,0,3,1,1,0,0,9.0,2.0
80,1959-1960,9,Sparta Rotterdam,AFC Ajax,0,4,2,0,3,4,-4,6.0,12.0
81,1959-1960,10,ADO Den Haag,FC Volendam,4,1,1,3,0,5,3,9.0,7.0
82,1959-1960,10,AFC Ajax,VVV-Venlo,5,2,1,3,0,7,3,15.0,8.0
83,1959-1960,10,USV Elinkwijk,Rapid JC Heerlen,0,0,3,1,1,0,0,9.0,5.0
84,1959-1960,10,Feijenoord,DWS Amsterdam,6,2,1,3,0,8,4,9.0,4.0
85,1959-1960,10,MVV Maastricht,Sittardia,3,0,1,3,0,3,3,6.0,1.0
86,1959-1960,10,NAC Breda,Sparta Rotterdam,3,0,1,3,0,3,3,13.0,3.0
87,1959-1960,10,PSV,Sportclub Enschede,5,0,1,3,0,5,5,13.0,3.0
88,1959-1960,10,Willem II,DOS Utrecht,4,1,1,3,0,5,3,8.0,3.0
89,1959-1960,10,Fortuna '54,Blauw Wit,5,2,1,3,0,7,3,5.0,4.0
90,1959-1960,11,ADO Den Haag,Feijenoord,1,0,1,3,0,1,1,9.0,6.0
91,1959-1960,11,Blauw Wit,AFC Ajax,1,0,1,3,0,1,1,4.0,12.0
92,1959-1960,11,DOS Utrecht,DWS Amsterdam,4,2,1,3,0,6,2,6.0,3.0
93,1959-1960,11,Rapid JC Heerlen,Fortuna '54,2,0,1,3,0,2,2,8.0,4.0
94,1959-1960,11,Sportclub Enschede,MVV Maastricht,2,2,3,1,1,4,0,4.0,7.0
95,1959-1960,11,Sittardia,Willem II,1,1,3,1,1,2,0,1.0,8.0
96,1959-1960,11,Sparta Rotterdam,PSV,0,0,3,1,1,0,0,4.0,13.0
97,1959-1960,11,FC Volendam,USV Elinkwijk,1,0,1,3,0,1,1,10.0,6.0
98,1959-1960,11,VVV-Venlo,NAC Breda,1,1,3,1,1,2,0,6.0,13.0
99,1959-1960,12,AFC Ajax,Rapid JC Heerlen,3,2,1,3,0,5,1,12.0,7.0
100,1959-1960,12,DWS Amsterdam,Sittardia,2,3,2,0,3,5,-1,3.0,4.0
101,1959-1960,12,USV Elinkwijk,ADO Den Haag,1,3,2,0,3,4,-2,3.0,12.0
102,1959-1960,12,Feijenoord,DOS Utrecht,4,1,1,3,0,5,3,8.0,6.0
103,1959-1960,12,Fortuna '54,FC Volendam,4,2,1,3,0,6,2,7.0,7.0
104,1959-1960,12,MVV Maastricht,Sparta Rotterdam,3,0,1,3,0,3,3,10.0,4.0
105,1959-1960,12,NAC Breda,Blauw Wit,1,2,2,0,3,3,-1,10.0,7.0
106,1959-1960,12,PSV,VVV-Venlo,4,1,1,3,0,5,3,13.0,3.0
107,1959-1960,12,Willem II,Sportclub Enschede,2,1,1,3,0,3,1,8.0,1.0
108,1959-1960,13,ADO Den Haag,Fortuna '54,1,1,3,1,1,2,0,10.0,8.0
109,1959-1960,13,Blauw Wit,PSV,1,1,3,1,1,2,0,8.0,11.0
110,1959-1960,13,USV Elinkwijk,Feijenoord,0,0,3,1,1,0,0,3.0,8.0
111,1959-1960,13,Rapid JC Heerlen,NAC Breda,0,0,3,1,1,0,0,8.0,8.0
112,1959-1960,13,Sportclub Enschede,DWS Amsterdam,1,3,2,0,3,4,-2,1.0,6.0
113,1959-1960,13,Sittardia,DOS Utrecht,2,5,2,0,3,7,-3,4.0,9.0
114,1959-1960,13,Sparta Rotterdam,Willem II,2,0,1,3,0,2,2,4.0,7.0
115,1959-1960,13,FC Volendam,AFC Ajax,0,3,2,0,3,3,-3,4.0,12.0
116,1959-1960,13,VVV-Venlo,MVV Maastricht,4,1,1,3,0,5,3,5.0,7.0
117,1959-1960,14,AFC Ajax,ADO Den Haag,3,0,1,3,0,3,3,12.0,10.0
118,1959-1960,14,DOS Utrecht,Sportclub Enschede,3,3,3,1,1,6,0,7.0,2.0
119,1959-1960,14,DWS Amsterdam,Sparta Rotterdam,2,2,3,1,1,4,0,4.0,5.0
120,1959-1960,14,Feijenoord,Sittardia,4,2,1,3,0,6,2,10.0,4.0
121,1959-1960,14,Fortuna '54,USV Elinkwijk,0,2,2,0,3,2,-2,7.0,5.0
122,1959-1960,14,MVV Maastricht,Blauw Wit,4,2,1,3,0,6,2,10.0,7.0
123,1959-1960,14,NAC Breda,FC Volendam,3,1,1,3,0,4,2,8.0,3.0
124,1959-1960,14,PSV,Rapid JC Heerlen,3,3,3,1,1,6,0,9.0,6.0
125,1959-1960,14,Willem II,VVV-Venlo,0,2,2,0,3,2,-2,7.0,7.0
126,1959-1960,15,ADO Den Haag,NAC Breda,4,1,1,3,0,5,3,10.0,5.0
127,1959-1960,15,Blauw Wit,Willem II,0,1,2,0,3,1,-1,7.0,7.0
128,1959-1960,15,USV Elinkwijk,AFC Ajax,2,4,2,0,3,6,-2,4.0,12.0
129,1959-1960,15,Fortuna '54,Feijenoord,1,3,2,0,3,4,-2,4.0,10.0
130,1959-1960,15,Rapid JC Heerlen,MVV Maastricht,2,1,1,3,0,3,1,8.0,7.0
131,1959-1960,15,Sportclub Enschede,Sittardia,0,2,2,0,3,2,-2,2.0,7.0
132,1959-1960,15,Sparta Rotterdam,DOS Utrecht,0,1,2,0,3,1,-1,5.0,10.0
133,1959-1960,15,FC Volendam,PSV,1,2,2,0,3,3,-1,3.0,9.0
134,1959-1960,15,VVV-Venlo,DWS Amsterdam,3,0,1,3,0,3,3,10.0,4.0
135,1959-1960,16,AFC Ajax,Fortuna '54,5,1,1,3,0,6,4,15.0,4.0
136,1959-1960,16,DOS Utrecht,VVV-Venlo,1,2,2,0,3,3,-1,7.0,12.0
137,1959-1960,16,DWS Amsterdam,Blauw Wit,2,0,1,3,0,2,2,7.0,4.0
138,1959-1960,16,Feijenoord,Sportclub Enschede,4,1,1,3,0,5,3,13.0,1.0
139,1959-1960,16,MVV Maastricht,FC Volendam,5,3,1,3,0,8,2,9.0,0.0
140,1959-1960,16,NAC Breda,USV Elinkwijk,1,1,3,1,1,2,0,5.0,5.0
141,1959-1960,16,PSV,ADO Den Haag,0,3,2,0,3,3,-3,8.0,10.0
142,1959-1960,16,Sittardia,Sparta Rotterdam,0,1,2,0,3,1,-1,6.0,7.0
143,1959-1960,16,Willem II,Rapid JC Heerlen,3,2,1,3,0,5,1,9.0,5.0
144,1959-1960,17,ADO Den Haag,MVV Maastricht,3,2,1,3,0,5,1,10.0,6.0
145,1959-1960,17,AFC Ajax,Feijenoord,4,1,1,3,0,5,3,15.0,10.0
146,1959-1960,17,Blauw Wit,DOS Utrecht,0,5,2,0,3,5,-5,1.0,10.0
147,1959-1960,17,USV Elinkwijk,PSV,0,2,2,0,3,2,-2,5.0,8.0
148,1959-1960,17,Fortuna '54,NAC Breda,1,1,3,1,1,2,0,2.0,6.0
149,1959-1960,17,Rapid JC Heerlen,DWS Amsterdam,0,1,2,0,3,1,-1,5.0,10.0
150,1959-1960,17,Sparta Rotterdam,Sportclub Enschede,2,1,1,3,0,3,1,10.0,1.0
151,1959-1960,17,FC Volendam,Willem II,2,2,3,1,1,4,0,1.0,7.0
152,1959-1960,17,VVV-Venlo,Sittardia,3,2,1,3,0,5,1,15.0,3.0
153,1959-1960,18,DOS Utrecht,Rapid JC Heerlen,1,2,2,0,3,3,-1,7.0,7.0
154,1959-1960,18,DWS Amsterdam,FC Volendam,4,2,1,3,0,6,2,10.0,1.0
155,1959-1960,18,MVV Maastricht,USV Elinkwijk,2,0,1,3,0,2,2,9.0,4.0
156,1959-1960,18,NAC Breda,AFC Ajax,2,1,1,3,0,3,1,8.0,12.0
157,1959-1960,18,PSV,Fortuna '54,3,1,1,3,0,4,2,10.0,1.0
158,1959-1960,18,Sportclub Enschede,VVV-Venlo,3,2,1,3,0,5,1,4.0,12.0
159,1959-1960,18,Sittardia,Blauw Wit,1,1,3,1,1,2,0,4.0,1.0
160,1959-1960,18,Sparta Rotterdam,Feijenoord,0,5,2,0,3,5,-5,7.0,12.0
161,1959-1960,18,Willem II,ADO Den Haag,3,0,1,3,0,3,3,10.0,9.0
162,1959-1960,19,ADO Den Haag,DWS Amsterdam,1,2,2,0,3,3,-1,9.0,12.0
163,1959-1960,19,AFC Ajax,PSV,6,2,1,3,0,8,4,12.0,9.0
164,1959-1960,19,Blauw Wit,Sportclub Enschede,3,2,1,3,0,5,1,4.0,3.0
165,1959-1960,19,USV Elinkwijk,Willem II,2,0,1,3,0,2,2,4.0,10.0
166,1959-1960,19,Feijenoord,NAC Breda,1,1,3,1,1,2,0,10.0,6.0
167,1959-1960,19,Fortuna '54,MVV Maastricht,1,2,2,0,3,3,-1,1.0,9.0
168,1959-1960,19,Rapid JC Heerlen,Sittardia,3,1,1,3,0,4,2,9.0,4.0
169,1959-1960,19,FC Volendam,DOS Utrecht,4,0,1,3,0,4,4,4.0,6.0
170,1959-1960,19,VVV-Venlo,Sparta Rotterdam,2,2,3,1,1,4,0,10.0,7.0
171,1959-1960,20,ADO Den Haag,DOS Utrecht,2,1,1,3,0,3,1,9.0,3.0
172,1959-1960,20,AFC Ajax,MVV Maastricht,0,1,2,0,3,1,-1,9.0,12.0
173,1959-1960,20,Blauw Wit,Sparta Rotterdam,2,1,1,3,0,3,1,7.0,7.0
174,1959-1960,20,USV Elinkwijk,DWS Amsterdam,0,2,2,0,3,2,-2,4.0,15.0
175,1959-1960,20,Feijenoord,VVV-Venlo,2,2,3,1,1,4,0,8.0,8.0
176,1959-1960,20,Fortuna '54,Willem II,2,2,3,1,1,4,0,2.0,8.0
177,1959-1960,20,NAC Breda,PSV,1,3,2,0,3,4,-2,6.0,9.0
178,1959-1960,20,Rapid JC Heerlen,Sportclub Enschede,0,1,2,0,3,1,-1,6.0,6.0
179,1959-1960,20,FC Volendam,Sittardia,2,1,1,3,0,3,1,7.0,1.0
180,1959-1960,21,DOS Utrecht,USV Elinkwijk,3,2,1,3,0,5,1,6.0,3.0
181,1959-1960,21,DWS Amsterdam,Fortuna '54,2,1,1,3,0,3,1,15.0,2.0
182,1959-1960,21,MVV Maastricht,NAC Breda,0,2,2,0,3,2,-2,9.0,8.0
183,1959-1960,21,PSV,Feijenoord,0,2,2,0,3,2,-2,9.0,8.0
184,1959-1960,21,Sportclub Enschede,FC Volendam,3,2,1,3,0,5,1,9.0,7.0
185,1959-1960,21,Sittardia,ADO Den Haag,3,2,1,3,0,5,1,4.0,6.0
186,1959-1960,21,Sparta Rotterdam,Rapid JC Heerlen,0,1,2,0,3,1,-1,4.0,9.0
187,1959-1960,21,VVV-Venlo,Blauw Wit,0,0,3,1,1,0,0,6.0,8.0
188,1959-1960,21,Willem II,AFC Ajax,2,4,2,0,3,6,-2,5.0,9.0
189,1959-1960,22,Fortuna '54,DOS Utrecht,1,1,3,1,1,2,0,2.0,4.0
190,1959-1960,22,NAC Breda,Willem II,3,1,1,3,0,4,2,10.0,4.0
191,1959-1960,22,Rapid JC Heerlen,VVV-Venlo,2,1,1,3,0,3,1,12.0,3.0
192,1959-1960,22,ADO Den Haag,Sportclub Enschede,2,2,3,1,1,4,0,4.0,10.0
193,1959-1960,22,AFC Ajax,DWS Amsterdam,2,0,1,3,0,2,2,9.0,12.0
194,1959-1960,22,USV Elinkwijk,Sittardia,1,0,1,3,0,1,1,6.0,4.0
195,1959-1960,22,Feijenoord,Blauw Wit,2,0,1,3,0,2,2,11.0,8.0
196,1959-1960,22,PSV,MVV Maastricht,2,1,1,3,0,3,1,9.0,9.0
197,1959-1960,22,FC Volendam,Sparta Rotterdam,0,4,2,0,3,4,-4,6.0,4.0
198,1959-1960,23,Blauw Wit,Rapid JC Heerlen,3,1,1,3,0,4,2,10.0,9.0
199,1959-1960,23,DOS Utrecht,AFC Ajax,2,2,3,1,1,4,0,5.0,10.0
200,1959-1960,23,DWS Amsterdam,NAC Breda,1,2,2,0,3,3,-1,9.0,10.0
201,1959-1960,23,MVV Maastricht,Feijenoord,2,0,1,3,0,2,2,9.0,8.0
202,1959-1960,23,Sportclub Enschede,USV Elinkwijk,2,0,1,3,0,2,2,10.0,6.0
203,1959-1960,23,Sittardia,Fortuna '54,0,3,2,0,3,3,-3,3.0,5.0
204,1959-1960,23,Sparta Rotterdam,ADO Den Haag,6,0,1,3,0,6,6,7.0,4.0
205,1959-1960,23,VVV-Venlo,FC Volendam,4,2,1,3,0,6,2,6.0,6.0
206,1959-1960,23,Willem II,PSV,3,4,2,0,3,7,-1,1.0,9.0
207,1959-1960,24,ADO Den Haag,VVV-Venlo,1,4,2,0,3,5,-3,4.0,8.0
208,1959-1960,24,AFC Ajax,Sittardia,4,2,1,3,0,6,2,10.0,3.0
209,1959-1960,24,USV Elinkwijk,Sparta Rotterdam,1,1,3,1,1,2,0,4.0,7.0
210,1959-1960,24,Feijenoord,Rapid JC Heerlen,5,0,1,3,0,5,5,10.0,6.0
211,1959-1960,24,Fortuna '54,Sportclub Enschede,4,2,1,3,0,6,2,8.0,10.0
212,1959-1960,24,MVV Maastricht,Willem II,2,3,2,0,3,5,-1,6.0,4.0
213,1959-1960,24,NAC Breda,DOS Utrecht,1,4,2,0,3,5,-3,9.0,8.0
214,1959-1960,24,PSV,DWS Amsterdam,1,1,3,1,1,2,0,10.0,7.0
215,1959-1960,24,FC Volendam,Blauw Wit,2,1,1,3,0,3,1,6.0,7.0
